5350	뭔가 해보자!	1276	Let's try something.
5351	자야 합니다.	1277	I have to go to sleep.
5352	뭐해?	16492	What are you doing?
5353	그것은 무엇입니까?	42849	What is it?
5354	오늘은 6월 18일, Muiriel의 생일입니다!	1280	Today is June 18th and it is Muiriel's birthday!
5355	생일 축하해 Muiriel!	355041	Happy birthday, Muiriel!
5356	Muiriel은 지금 20살입니다.	1282	Muiriel is 20 now.
5357	비밀번호는 "Muiriel" 입니다.	1283	The password is "Muiriel".
5358	곧 돌아올께요.	1284	I will be back soon.
5359	모르겠어요.	349064	I don't know.
5360	이건 절대 끝나지 않을거야.	1287	This is never going to end.
5361	뭐라고 말해야 할지 정말 모르겠어...	1288	I just don't know what to say.
5362	나는 산에 있었어.	1290	I was in the mountains.
5363	이 사진 최근 거에요?	1291	Is it a recent picture?
5364	시간 있는지 잘 모르겠어요.	1292	I don't know if I have the time.
5365	이 세상의 교육이 나를 실망시켜요.	1294	Education in this world disappoints me.
5366	저는 하루에 100유로를 법니다.	1299	I make €100 a day.
5367	왜냐하면 당신은 혼자가 되고 싶지 않기 때문이에요.	1301	It's because you don't want to be alone.
5368	보고 싶어.	1308	I miss you.
5369	당신 좀 자야겠어요.	1311	You should sleep.
5370	나는 갈 거에요.	1312	I'm going to go.
5371	유감스럽게도 사실이네요.	1320	It is unfortunately true.
5372	정말이에요?	1326	Are you sure?
5372	정말이에요?	373216	Really?
5373	일어났을 때 슬펐어.	1361	When I woke up, I was sad.
5374	혼자인 사람은 다른 사람들을 두려워하기 때문에 혼자다.	1367	Every person who is alone is alone because they are afraid of others.
5375	일본에 갈 수 있었으면 좋겠어요.	1393	I wish I could go to Japan.
5376	사람 많은 게 싫어요.	1394	I hate it when there are a lot of people.
5377	자야겠어요.	1395	I have to go to bed.
5378	오늘은 더 이상 물어보지 않겠어요.	1397	I won't ask you anything else today.
5379	그가 사과를 했음에도 불구하고, 난 아직 화가 나 있어요.	1399	Even though he apologized, I'm still furious.
5381	아는분이 없을겁니다.	1421	No one will know.
5382	해결책을 찾았지만 너무 빨리 찾아서 맞는 답이 아닌거 같습니다.	1422	I found a solution, but I found it so fast that it can't be the right solution.
5383	무엇이 문제입니까?	1431	Where is the problem?
5383	무엇이 문제입니까?	416891	What is the problem?
5384	더이상 어떻게 해야할지 모르겠어.	1443	I don't know what to do anymore.
5385	나는 언젠가는 프랑스에 꼭 가야되는데, 그게 언제인지는 모르겠어.	1444	It is inevitable that I go to France someday, I just don't know when.
5386	아무나 할 수 있는 것이 아닙니다.	1458	It's not something anyone can do.
5387	모두가 너를 만나고 싶어해, 너 유명하네!	1468	Everyone wants to meet you. You're famous!
5388	왜 안되는지 설명할려면 시간 너무 많이 걸리겠다.	1496	It would take me too much time to explain to you why it's not going to work.
5389	작고 흰 토끼는 "무슨 일 있니?" 라고 물어봤습니다.	1507	"What's the matter?" asked the little white rabbit.
5390	히로시는 이것 재미 있을 것 같다고 말한다.	1514	"This looks pretty interesting," Hiroshi says.
5391	우리가 가든지 안 가든지는 네가 결정해.	1524	It is up to you to decide whether we will go there or not.
5392	저는 남은 인생을 그것에 대해 후회하면서 지내고 싶지 않아요.	1598	I don't want to spend the rest of my life regretting it.
5393	나는 꿈이 있어.	1630	I have a dream.
5394	놀라워 하고, 궁금해 하는 것이 이해의 시작이다.	1634	To be surprised, to wonder, is to begin to understand.
5395	그러나 우주는 무한하다.	1635	But the universe is infinite.
5396	한가지만 빼면 그녀는 완벽해요.	1636	To be perfect she lacked just one defect.
5397	그러나, 그 반대도 또한 항상 진실이다.	1637	And yet, the contrary is always true as well.
5398	그 모습 그대로 사물을 보지 않고, 우리 자신의 모습으로 그것을 바라본다.	1638	We don't see things as they are, but as we are.
5399	이 세상은 미치광이들의 소굴이다	1639	The world is a den of crazies.
5400	너 멍청하게 보여.	1644	You look stupid.
5401	난 쇼핑 가야되요, 한 시간 안에 돌아올게요.	1650	I have to go shopping. I'll be back in an hour.
5402	이탈리아는 아주 아름다운 나라입니다.	1658	Italy is a very beautiful country.
5403	바라는 것이 없으면 부족함이 없다.	1670	Not wanting is the same as having.
